first_name,last_name,email,city
Ms.Diane,Harrison,diane.harrison@example.com,Mobile
Mr.Dylan,Larson,dylan.larson@example.com,Moreno Valley
Mr.Martin,Richardson,martin.richardson@example.com,Clearwater
Mrs.Victoria,Adams,victoria.adams@example.com,Des Moines
Miss.Anita,Simmons,anita.simmons@example.com,Forney
Mr.Robert,Morgan,robert.morgan@example.com,Rancho Cucamonga
Ms.Miriam,Larson,miriam.larson@example.com,Sunnyvale
Mr.Lewis,Perry,lewis.perry@example.com,Mesa
Mrs.Avery,Curtis,avery.curtis@example.com,Rockford
Mr.Edward,Walker,edward.walker@example.com,San Mateo
